Year,Sector Economico,Codigo de Producto,Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL
2024,Total PRODUCTOS TRADICIONALES,2710191590,CARBURORREACTOTES TIPO QUEROSENO PARA  REACTORES Y TURBINAS (EXCEP. PARA  EMP. AVIACI,13465451.6,0,0,0,0,0,0,0,0,0,0,0,13465451.6
2024,Total PRODUCTOS NO TRADICIONALES,803901100,BANANAS FRESCAS TIPO CAVENDISH VALERY,9872442.991,10531425.39,12809149.307,0,0,0,0,0,0,0,0,0,33213017.69
2024,Total PRODUCTOS NO TRADICIONALES,304890000,LOS DEMAS FILETE CONGELADOS DE LOS DEMAS PESCADOS,9789996.936,11089170.18,11709882.034,0,0,0,0,0,0,0,0,0,32589049.15
2024,Total PRODUCTOS NO TRADICIONALES,6109100031,"T-SHIRTDE ALGODON P`HOMB.O MUJ.,D`TEJ.TEÑIDO D`UN SOLO COLOR UNIF.INCL.BLANQLEADOS",8878070.563,10137746.64,11867930.033,0,0,0,0,0,0,0,0,0,30883747.24
2024,Total PRODUCTOS NO TRADICIONALES,7214200000,"BARRA DE HIERRO O ACERO SIN ALEAR CON MUESCAS, CORDONES, SURCOS O RELIEVES",13079193.51,7010868.69,10735471.403000001,0,0,0,0,0,0,0,0,0,30825533.6
2024,Total PRODUCTOS NO TRADICIONALES,303910000,"HIGADOS, HUEVAS Y LECHAS, COMESTIBLES DE PESCADO, CONGELADOS",8769190.51,11588424.92,9128483.648,0,0,0,0,0,0,0,0,0,29486099.08
2024,Total PRODUCTOS NO TRADICIONALES,811909100,"MANGO, SIN COCER O COCIDOS EN AGUA O VAPOR,S/AZUC.O EDULC.CONGEL",8016426.653,9503955.107,11426660.686000001,0,0,0,0,0,0,0,0,0,28947042.45
2024,Total PRODUCTOS NO TRADICIONALES,7409190000,"LAS DEMAS CHAPAS Y TIRAS DE COBRE REFINADO,DE ESPESOR SUP. A 0,15 MM",10117324.56,7566527.469,10974865.284,0,0,0,0,0,0,0,0,0,28658717.31
2024,Total PRODUCTOS NO TRADICIONALES,3920209000,"LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS DE POLIMEROS DE PROPILENO",7896960.385,8905939.269,11348763.475,0,0,0,0,0,0,0,0,0,28151663.13
2024,Total PRODUCTOS NO TRADICIONALES,1008509000,"QUINUA, EXCEPTO PARA LA SIEMBRA",7840802.781,9451514.473,9084977.3699999992,0,0,0,0,0,0,0,0,0,26377294.62
2024,Total PRODUCTOS NO TRADICIONALES,2207100000,ALCOHOL ETILICO SIN DESNATURALIZAR CON GRADO ALCOHOLICO VOLUMETRICO >=80% VOL,4568236.01,15735218.59,5601538.5599999996,0,0,0,0,0,0,0,0,0,25904993.16
2024,Total PRODUCTOS NO TRADICIONALES,703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS",12356002.97,9569576.53,3300078.23,0,0,0,0,0,0,0,0,0,25225657.73
2024,Total PRODUCTOS NO TRADICIONALES,5105391000,"PELO FINO DE ALPACA O DE LLAMA, CARDADO O PEINDAO",9289411.765,7629487.724,7151506.9000000004,0,0,0,0,0,0,0,0,0,24070406.39
2024,Total PRODUCTOS NO TRADICIONALES,7007210000,"VIDRIO DE SEGURIDAD CONTRACHAPADO  P`  AUTOMOVILES, AERONAVES, BARCOS U OTROS",9227433.81,5196767.114,9223145.0539999995,0,0,0,0,0,0,0,0,0,23647345.98
2024,Total PRODUCTOS NO TRADICIONALES,2817001000,OXIDO DE CINC (BLANCO O FLOR DE CINC),6188688.906,8735903.768,8258428.9299999997,0,0,0,0,0,0,0,0,0,23183021.6
2024,Total PRODUCTOS NO TRADICIONALES,306171100,"LANGOSTINOS ENTEROS, EXCEPTO DE AGUA FRIA, CONGELADOS",7518881.59,9331757.149,6054915.7439999999,0,0,0,0,0,0,0,0,0,22905554.48
2024,Total PRODUCTOS NO TRADICIONALES,910110000,JENGIBRE SIN TRITURAR NI PULVERIZAR,8763461.057,9490313.742,4395107.2989999996,0,0,0,0,0,0,0,0,0,22648882.1
2024,Total PRODUCTOS NO TRADICIONALES,1905310000,GALLETAS DULCES (CON ADICIÓN DE EDULCORANTE),7418107.401,7998899.968,7101409.8600000003,0,0,0,0,0,0,0,0,0,22518417.23
2024,Total PRODUCTOS NO TRADICIONALES,2807001000,ACIDO SULFURICO,8551473.72,7178994.76,5788166.2699999996,0,0,0,0,0,0,0,0,0,21518634.75
2024,Total PRODUCTOS NO TRADICIONALES,3920100000,"LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS DE POLIMEROS DE ETILENO",6274411.582,6938255.462,7989394.2379999999,0,0,0,0,0,0,0,0,0,21202061.28
2024,Total PRODUCTOS NO TRADICIONALES,307229000,LOS DEMAS MOLUSCOS CONGELADOS,4204094.406,7104898.27,9383714.8000000007,0,0,0,0,0,0,0,0,0,20692707.48
2024,Total PRODUCTOS NO TRADICIONALES,1804001300,MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1.65%,9523021.407,8966545.23,2122255.5,0,0,0,0,0,0,0,0,0,20611822.14
2024,Total PRODUCTOS NO TRADICIONALES,3205000000,LACAS COLORANTES;PREPARAC. A Q` SE REFIERE LA NOTA 3 DE ESTE CAPIT. A BASE DE LACAS C,6194073.052,4997895.215,8400983.2860000003,0,0,0,0,0,0,0,0,0,19592951.55
2024,Total PRODUCTOS NO TRADICIONALES,2005991000,"ALCACHOFAS (ALCAUCILES) PREPARADAS O CONSERVADAS, SIN CONGELAR",6585355.839,6612352.033,6312059.1100000003,0,0,0,0,0,0,0,0,0,19509766.98
2024,Total PRODUCTOS NO TRADICIONALES,7407100000,BARRAS Y PERFILES DE COBRE REFINADO,7012761.741,5324890.481,6722202.0449999999,0,0,0,0,0,0,0,0,0,19059854.27
2024,Total PRODUCTOS NO TRADICIONALES,6105209000,CAMISAS DE PTO. DE LAS DEMAS FIBRAS SINTETICAS O ARTIFICIALES PARA HOMBRES O NIÑOS,7993984.675,4514519.665,6186770.1140000001,0,0,0,0,0,0,0,0,0,18695274.45
2024,Total PRODUCTOS NO TRADICIONALES,1605540000,"PREPARACIONES O CONSERVAS DE JIBIAS, GLOBITOS, CALAMARES Y POTAS",4876580.982,6415836.112,6598797.5219999999,0,0,0,0,0,0,0,0,0,17891214.62
2024,Total PRODUCTOS NO TRADICIONALES,6907220000,"PLACAS Y BALDOSAS, P´PAVIMENTACIÓN O REVESTIMIENTO, 0,5%<COEF ABSORC AGUA<= 10% PESO",5509255.08,5323531.039,6853567.6859999998,0,0,0,0,0,0,0,0,0,17686353.81
2024,Total PRODUCTOS NO TRADICIONALES,811909900,"DEMAS FRUTAS Y OTROS FRUTOS,SIN COCER O COCIDOS EN AGUA O VAPOR,S/AZUC.O EDULC.CONGEL",5833381.031,6115932.438,5082605.3030000003,0,0,0,0,0,0,0,0,0,17031918.77
2024,Total PRODUCTOS NO TRADICIONALES,3203002100,MATERIAS COLORANTES DE COCHINILLA,5666226.764,5418227.212,5580208.5959999999,0,0,0,0,0,0,0,0,0,16664662.57
2024,Total PRODUCTOS NO TRADICIONALES,2001909000,"DEMAS HORTALIZAS,FRUTAS Y DEMAS PART. COMEST. DE PLANTAS,PREP. O CONSERV.EN VINAGRE",4413265.565,5577753.279,6009976.2259999998,0,0,0,0,0,0,0,0,0,16000995.07
2024,Total PRODUCTOS NO TRADICIONALES,1604141000,"PREPARACIONES O CONSERVA DE ATUNES, ENTERO O TROZOS",3522955.89,5006770.7,6732718.8300000001,0,0,0,0,0,0,0,0,0,15262445.42
2024,Total PRODUCTOS NO TRADICIONALES,805502200,LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA) FRESCOS O SECOS,4933651.303,4640045.985,5686829.7039999999,0,0,0,0,0,0,0,0,0,15260526.99
2024,Total PRODUCTOS NO TRADICIONALES,6109909000,T-SHIRTS Y CAMISETAS INTERIORES DE PUNTO DE LAS DEMAS MATERIAS TEXTILES,5773977.888,3443103.59,5972832.3679999998,0,0,0,0,0,0,0,0,0,15189913.85
2024,Total PRODUCTOS NO TRADICIONALES,6105100041,"CAMISAS D`PTO.ALG.C/ABERT.DEL.PARC.,C.Y PUÑ.DE TEJ.ACAN.P`HOMB.,TEÑIDO D`UN SOLO COLO",6695016.671,3541770.142,4072203.4709999999,0,0,0,0,0,0,0,0,0,14308990.28
2024,Total PRODUCTOS NO TRADICIONALES,7602000000,"DESPERDICIOS Y DESECHOS, DE ALUMINIO.",4679505.05,3869487.05,5303869.45,0,0,0,0,0,0,0,0,0,13852861.55
2024,Total PRODUCTOS NO TRADICIONALES,3923109000,"CAJAS, CAJONES, JAULAS Y ARTICULOS SIMILARES",4719240.44,4487104.907,4590499.3880000003,0,0,0,0,0,0,0,0,0,13796844.74
2024,Total PRODUCTOS NO TRADICIONALES,306179900,"LOS DEMAS CAMARONES, LANGOSTINOS Y DEMAS DECAPODOS, EXCEP. DE AGUA FRIA, CONGELADOS",2921620.028,3573334.93,7166006.1900000004,0,0,0,0,0,0,0,0,0,13660961.15
2024,Total PRODUCTOS NO TRADICIONALES,1511900000,"ACEITE DE PALMA Y SUS FRACCIONES, INCL. REFINADO PERO SIN MODIFICAR QUIMICAMENTE",5849503.27,3270790.29,4154030.95,0,0,0,0,0,0,0,0,0,13274324.51
2024,Total PRODUCTOS NO TRADICIONALES,2005600000,"ESPARRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR",5947941.233,3615528.957,3584057.1239999998,0,0,0,0,0,0,0,0,0,13147527.31
2024,Total PRODUCTOS NO TRADICIONALES,2009892000,JUGO DE MARACUYÁ (PARCHITA) (PASSIFLORA EDULIS),3185599.15,4469828.275,5279329.5820000004,0,0,0,0,0,0,0,0,0,12934757.01
2024,Total PRODUCTOS NO TRADICIONALES,1511100000,ACEITE DE PALMA EN BRUTO,7741139.33,4911456.82,66606.69,0,0,0,0,0,0,0,0,0,12719202.84
2024,Total PRODUCTOS NO TRADICIONALES,1803100000,PASTA DE CACAO SIN DESGRASAR,5300426.362,2334545.087,4837328.4730000002,0,0,0,0,0,0,0,0,0,12472299.92
2024,Total PRODUCTOS NO TRADICIONALES,8474900000,PARTES DE MAQUINAS Y APARATOS DE LA PARTIDA No 84.74,3034184.97,5514155.035,3826708.6340000001,0,0,0,0,0,0,0,0,0,12375048.64
2024,Total PRODUCTOS NO TRADICIONALES,6105100051,"CAMISAS D`PTO.ALG.C/CUE.Y ABERT.DEL.PARC.P`HOMB.,D`TEJ.TEÑIDO D`UN SOLO COLOR INCL.BL",4302362.979,4464267.313,3398225.34,0,0,0,0,0,0,0,0,0,12164855.63
2024,Total PRODUCTOS NO TRADICIONALES,303540000,"CABALLAS CONGELADAS, EXCEPTO HIGADOS, HUEVAS Y LECHAS",996740,8032546,2715823,0,0,0,0,0,0,0,0,0,11745109
2024,Total PRODUCTOS NO TRADICIONALES,3920620000,"LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS DE POLITEREFTALATO DE ETILENO",3073611.331,4634098.213,3745200.949,0,0,0,0,0,0,0,0,0,11452910.49
2024,Total PRODUCTOS NO TRADICIONALES,1404902000,TARA EN POLVO,4021334.89,3683614.17,3739968.13,0,0,0,0,0,0,0,0,0,11444917.19
2024,Total PRODUCTOS NO TRADICIONALES,1604160000,"PREPARAC. Y CONSERVAS DE ANCHOAS ENTERO O EN TROZOS, EXCEPTO PICADO",1825477.332,4798515.34,4818657.9780000001,0,0,0,0,0,0,0,0,0,11442650.65
2024,Total PRODUCTOS NO TRADICIONALES,4011101000,NEUMATICOS NUEVOS DE CAUCHO DEL TIPO DE LOS UTILIZ. EN AUTOMOVILES DE TURISMO,3482176.1,3978079.19,3867780.09,0,0,0,0,0,0,0,0,0,11328035.38
2024,Total PRODUCTOS NO TRADICIONALES,402911000,LECHE EVAPORADA SIN AZUCAR NI EDULCORANTE,3736738.045,3067588.34,4374985.6679999996,0,0,0,0,0,0,0,0,0,11179312.05
2024,Total PRODUCTOS NO TRADICIONALES,304990000,DEMAS CARNE DE PESCADO (INC. PICADA) CONGELADA,4679547.11,3293945.089,3093313.67,0,0,0,0,0,0,0,0,0,11066805.87
2024,Total PRODUCTOS NO TRADICIONALES,3923302000,"LOS DEMAS BOMBONAS, BOTELLAS, FRASCOS Y ARTICULOS SIMILARES",4196136.206,3771857.238,3048324.4410000001,0,0,0,0,0,0,0,0,0,11016317.89
2024,Total PRODUCTOS NO TRADICIONALES,3823190000,ACEITES ACIDOS DEL REFINADO.,2959488.665,3020108.42,5020520.46,0,0,0,0,0,0,0,0,0,11000117.55
